timestamp,employee_id,action
2025-04-12 13:52:37,1,gait_registered
2025-04-12 13:52:39,1,detected
2025-04-12 13:53:43,1,detected
2025-04-12 13:53:46,1,detected
2025-04-12 13:53:58,1,detected
2025-04-12 14:08:34,1,detected
2025-04-12 14:09:02,12,gait_registered
2025-04-12 16:29:42,1,detected
2025-04-12 16:31:56,1,detected
2025-04-12 16:33:21,12,detected
2025-04-12 16:33:59,12,detected
2025-04-12 17:01:23,1,features_registered
2025-04-12 17:01:23,1,detected
2025-04-12 17:01:42,1,detected
2025-04-12 21:28:10,1,features_registered
2025-04-12 21:28:10,1,detected
2025-04-12 21:29:12,1,detected
2025-04-12 21:33:43,1,detected
2025-04-12 21:34:17,2,features_registered
2025-04-12 21:34:18,1,detected
2025-04-12 21:34:18,2,detected
2025-04-12 21:34:21,2,detected
2025-04-12 21:34:25,2,detected
2025-04-12 21:34:25,2,detected
2025-04-12 21:34:29,1,detected
2025-04-12 21:34:30,1,detected
2025-04-12 21:34:31,2,detected
2025-04-12 21:34:32,2,detected
2025-04-12 21:34:34,1,detected
2025-04-12 21:34:34,1,detected
2025-04-12 21:34:35,2,detected
2025-04-12 21:34:36,1,detected
2025-04-12 21:34:36,2,detected
2025-04-12 21:34:38,1,detected
2025-04-12 21:34:39,2,detected
2025-04-12 21:34:41,2,detected
2025-04-12 21:34:46,1,detected
2025-04-12 21:34:46,2,detected
2025-04-12 21:34:48,1,detected
2025-04-12 21:34:49,2,detected
2025-04-12 21:34:50,2,detected
2025-04-12 21:34:55,1,detected
2025-04-12 21:34:55,2,detected
2025-04-12 21:34:57,1,detected
2025-04-12 21:34:57,2,detected
2025-04-12 21:35:03,2,detected
2025-04-12 21:35:05,1,detected
2025-04-12 21:35:06,2,detected
2025-04-12 21:35:07,2,detected
2025-04-12 21:35:07,1,detected
2025-04-12 21:35:08,2,detected
2025-04-12 21:35:09,1,detected
2025-04-12 21:35:10,2,detected
2025-04-12 21:35:11,1,detected
2025-04-12 21:35:11,2,detected
2025-04-12 21:35:12,1,detected
2025-04-12 21:35:13,1,detected
2025-04-12 21:35:13,2,detected
2025-04-12 21:35:15,2,detected
2025-04-12 21:35:17,2,detected
2025-04-12 21:35:21,2,detected
2025-04-12 21:35:23,2,detected
2025-04-12 21:35:24,1,detected
2025-04-12 21:35:26,2,detected
2025-04-12 21:35:29,2,detected
2025-04-12 21:35:31,2,detected
2025-04-12 21:35:31,1,detected
2025-04-12 21:35:32,1,detected
2025-04-12 21:35:32,2,detected
2025-04-12 21:35:36,1,detected
2025-04-12 21:35:38,1,detected
2025-04-12 21:35:38,2,detected
2025-04-12 21:35:41,1,detected
2025-04-12 21:35:41,2,detected
2025-04-12 21:35:45,2,detected
2025-04-12 21:35:45,2,detected
2025-04-12 21:35:52,2,detected
2025-04-12 21:35:53,1,detected
2025-04-12 21:35:56,1,detected
2025-04-12 21:35:57,2,detected
2025-04-12 21:35:58,2,detected
2025-04-12 21:36:01,1,detected
2025-04-12 21:36:01,2,detected
2025-04-12 21:36:02,2,detected
2025-04-12 21:36:05,1,detected
2025-04-12 21:36:05,2,detected
2025-04-12 21:36:08,1,detected
2025-04-12 21:36:09,2,detected
2025-04-12 21:36:17,1,detected
2025-04-12 21:36:17,2,detected
2025-04-12 21:36:21,1,detected
2025-04-12 21:36:23,2,detected
2025-04-12 21:36:27,2,detected
2025-04-12 21:36:29,2,detected
2025-04-12 21:36:30,1,detected
2025-04-12 21:36:30,2,detected
2025-04-12 21:36:39,1,detected
2025-04-12 21:36:40,2,detected
2025-04-12 21:36:41,1,detected
2025-04-12 21:36:42,2,detected
2025-04-12 21:36:43,1,detected
2025-04-12 21:36:43,2,detected
2025-04-12 21:36:45,1,detected
2025-04-12 21:36:45,1,detected
2025-04-12 21:36:46,1,detected
2025-04-12 21:36:48,1,detected
2025-04-12 21:36:49,1,detected
2025-04-12 21:36:49,2,detected
2025-04-12 21:36:50,1,detected
2025-04-12 21:36:50,2,detected
2025-04-12 21:36:51,1,detected
2025-04-12 21:36:52,1,detected
2025-04-12 21:36:52,2,detected
2025-04-12 21:36:54,2,detected
2025-04-12 21:36:54,1,detected
2025-04-12 21:36:55,2,detected
2025-04-12 21:36:57,2,detected
2025-04-12 21:37:08,2,detected
2025-04-12 21:37:08,1,detected
2025-04-12 21:37:09,2,detected
2025-04-12 21:37:10,2,detected
2025-04-12 21:37:12,2,detected
2025-04-12 21:37:16,1,detected
2025-04-12 21:37:17,2,detected
2025-04-12 21:37:19,1,detected
2025-04-12 21:37:20,2,detected
2025-04-12 21:37:29,1,detected
2025-04-12 21:37:30,2,detected
2025-04-12 21:37:35,2,detected
2025-04-12 21:37:38,1,detected
2025-04-12 21:37:39,2,detected
2025-04-12 21:37:47,2,detected
2025-04-12 21:38:03,1,detected
2025-04-12 21:38:03,2,detected
2025-04-12 21:38:14,1,detected
2025-04-12 21:38:15,2,detected
2025-04-16 21:01:15,1,detected
2025-04-16 21:01:17,2,detected
2025-04-16 21:01:19,1,detected
2025-04-16 21:01:19,2,detected
2025-04-16 21:01:26,2,detected
2025-04-16 21:01:31,1,detected
2025-04-16 21:01:32,2,detected
2025-04-16 21:01:35,1,detected
2025-04-16 21:01:36,2,detected
2025-04-16 21:01:40,2,detected
2025-04-16 21:02:16,1,detected
2025-04-16 21:02:17,2,detected
2025-04-16 21:02:23,1,detected
2025-04-16 21:02:24,2,detected
2025-04-16 21:02:33,2,detected
2025-04-16 21:02:39,2,detected
2025-04-16 21:02:49,2,detected
2025-04-16 21:02:50,1,detected
2025-04-16 21:02:51,2,detected
2025-04-16 21:02:53,2,detected
2025-04-16 21:02:54,1,detected
2025-04-16 21:02:54,2,detected
2025-04-16 21:02:57,2,detected
2025-04-16 21:02:59,2,detected
2025-04-16 21:03:01,1,detected
2025-04-16 21:03:02,2,detected
2025-04-16 21:03:04,1,detected
2025-04-16 21:03:05,2,detected
2025-04-16 21:03:10,1,detected
2025-04-16 21:03:11,2,detected
